Feature	COPF
Cobalamin synthesis, Precorin-2 to Cob(II)yrinate a,c diamide, anaerobic	85
Antibiotic anticapsin - bacilysin	85
Immundisolibacteraceae	85
Chloroherpetonaceae	85
Porphyromonadaceae	85
Caedimonadaceae	85
Cobalamin synthesis	85
Catalimonadaceae	85
Flexibacteraceae	85
Fulvivirgaceae	85
Cobalamin synthesis from Cob(II)yrinate a,c diamide	85
Marinifilaceae	85
Tichowtungiaceae	86
Chthonomonadaceae	86
Anaeroplasmataceae	86
Hydrogenothermaceae	86
Agrocinopine utilization	86
Thermosporotrichaceae	86
Bipolaricaulaceae	86
An Arabinose Sensor	87
Egibacteraceae	87
Aminoglycoside modifying enzymes: N-acetyltransferases	87
Ignavibacteriaceae	87
Quorum sensing in Yersinia	87
Holosporaceae	87
Erythrobacteraceae	87
Succinivibrionaceae	87
Phototrophicaceae	87
DNA repair, bacterial UmuCD system	87
Bifidobacteriaceae	87
Exosporium	88
Steroidobacteraceae	88
Macrolides, lincosamides, streptogramins, ketolides, oxazolidinones (MLSKO) resistance: enzymatic degradation	88
Maliibacteriaceae	88
Lentisphaeraceae	88
Heterocyst formation in cyanobacteria	88
Pelagicoccaceae	88
Ichthyobacteriaceae	88
Bacillibactin Siderophore	88
Longimicrobiaceae	89
Abditibacteriaceae	89
Vecturitrichaceae	89
Wall polysaccharide pyruvylation	89
NADP-reducing [FeFe]-hydrogenase	89
Brevinemataceae	89
Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	89
Methanogenesis	89
Schleiferiaceae	89
Sporulation proteins SpoIIIAA-SpoIIIAH	89
Sporulation gene orphans	89
Oceanococcaceae	89
Toluene 4-monooxygenase (T4MO)	89
Outer membrane porins in Mycobacteria	89
Sporulation Cluster III A	89
Aeolococcaceae	89
Rickettsiaceae	89
Vicingaceae	89
Paracaedibacteraceae	89
Peptoniphilaceae	89
Mycofactocin system cluster	89
Activation of fatty acids as acyl-adenylates cluster subgroup FadD10	89
Accessory colonization factor	89
Romeriaceae	89
Thermoflexibacteraceae	89
Forespore to mother cell channel	89
Coprobacillaceae	89
Carboxysome	89
Acutalibacteraceae	89
Mannosylglucosylglycerate synthesis	89
Clostridiales Family XVI. Incertae Sedis	89
Breznakiellaceae	89
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-3)	89
Persicobacteraceae	90
Sulfomarinibacteraceae	90
Bernardetiaceae	90
Desulfonatronovibrionaceae	90
Thiohalospiraceae	90
Magnetococcaceae	90
Thermoguttaceae	90
Mycosporine synthesis cluster	90
Planctomycetaceae	90
Hepatoplasmataceae	90
Chthoniobacteraceae	90
Tepidibacteraceae	91
Dissulfuribacteraceae	91
Acidilutibacteraceae	91
Lutisporaceae	91
Caldicellulosiruptoraceae	91
Zymomonadaceae	91
Eubacteriaceae	91
Peptococcaceae	91
Aquicultoraceae	91
Tepidanaerobacteraceae	91
Defluviitaleaceae	91
Oligosphaeraceae	91
Thermodesulforhabdaceae	91
Jatrophihabitantaceae	91
Fastidiosibacteraceae	91
Propanediol utilization	91
Chitinivibrionaceae	91
Leptotrichiaceae	91
Fusobacteriaceae	91
Teichuronic acid biosynthesis	91
Thermosediminibacteraceae	91
Tindalliaceae	92
Gracilibacteraceae	92
Koleobacteraceae	92
Spirochaetaceae	92
Hakubellaceae	92
Dictyoglomaceae	92
Desulfobacteriaceae	92
Sulfurovaceae	92
Anoxymicrobiaceae	92
Veillonellaceae	92
Mesoaciditogaceae	92
Catenulisporaceae	93
L-2-amino-adipate to lysine module	93
Salsipaludibacteraceae	93
Pentalenolactone Biosynthesis and Resistance	93
Adiutricaceae	93
Desulfallaceae	93
Chrysiogenaceae	93
Nannocystaceae	93
Macrolides, lincosamides, streptogramins, ketolides, oxazolidinones (MLSKO) resistance: rRNA methylases	93
Limisphaeraceae	93
Inner membrane proteins of MarC family, not involved in antibiotic resistance	93
Thermosulfidibacteraceae	93
Desulfobulbaceae	93
Euzebyaceae	93
Protein degradation	94
Predicted secretion system W clustering with cell division proteins	94
Ribosomal hibernation related cluster	94
Peptoclostridiaceae	95
Thermoanaerobacterales Family IV. Incertae Sedis	95
Hujiaoplasmataceae	95
Acidaminococcaceae	95
Sedimentisphaeraceae	95
Thermohalobacteraceae	95
Tissierellaceae	95
Cerasicoccaceae	95
Coraliomargaritaceae	95
Deianiraeaceae	95
Entophysalidaceae	95
Lachnospiraceae	95
Bianqueaceae	95
DNA repair, UvrABC system	96
Oscillospiraceae	96
Ribonucleotide reduction	96
Translation elongation factors, bacterial	97
Transcription factors, cyanobacterial RpoD-like sigma factors	97
Thermonemataceae	98
Sphaerochaetaceae	98
Deferribacteraceae	98
NhaA, NhaD and Sodium-dependent phosphate transporters	98
Thiazole.oxazole-modified microcins	98
